 ,Auditor,Close Date,ICO Size ($mn),Cumulative ICO Funding ($mn),coinmarketcap URL,Symbol,Current market capitalization (fully diluted) in USD,Trading volume (24hrs),website link (URL),whitepaper link (URL),Date,NOTES,Other links,DeadCoin Listing,Coinopsy Failure Reason,Value Creation % (less than 100% is value destruction),Volume as % of Raise,Volume as % of Market Cap,,Other research,ValueCreationNorm,Governance Transparency,Voting Eligibility,Decision/voting rights,Decision-making mechanism,Voting delegation,Specific governance roles,Internal on-chain audit,Execution quality KPI accountablity,Community co-creation of projects,Interface for centralized systems
Biometrids,,3/19/2018, $ 0.07 ,#REF!,,,,,,,06/06/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Biotron.io,,4/5/2018, $ 4.03 ,#REF!,https://coinmarketcap.com/currencies/biotron/,BTRN,"297,211",no data,https://biotron.io/,,06/06/2021,,,,,7.38%,#VALUE!,#VALUE!,,,1,,,,,,,,,,
BIT.GAME,,6/8/2018, $ 6.65 ,#REF!,,,,,,,04/06/2021,No information found,,DEAD,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
BitCar,,4/20/2018, $ 9.30 ,#REF!,https://coinmarketcap.com/currencies/bitcar/,BITCAR,,,https://bitcar.io/,,06/06/2021,No information found,,DEAD,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
BitClave (CAT),,12/29/2017, $ 25.55 ,#REF!,https://coinpaprika.com/coin/cat-bitclave/,CAT,"1,363,620.00",0.136361,https://www.bitclave.com/,https://www.bitclave.com/en/white-paper/,06/06/2021,,,,,5.34%,0.00%,0.00%,,,1,,,,,,,,,,
BitcoinGrowthFund,,5/17/2017, $ 19.35 ,#REF!,,,,,,,06/06/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
BitDegree,,12/28/2017, $ 22.13 ,#REF!,https://coinmarketcap.com/currencies/bitdegree/,BDG,"965,984",53,https://www.bitdegree.org/,https://www.bitdegree.org/white-paper.pdf,06/06/2021,,,DEAD,,4.37%,0.00%,0.01%,,,1,,,,,,,,,,
BitDice,,9/14/2017, $ 8.72 ,#REF!,https://coinpaprika.com/coin/csno-bitdice/,CSNO,74,1482.41,https://www.bitdice.me/,https://ico.bitdice.me/prospectus_en.pdf,06/06/2021,,,,,0.00%,0.02%,2003.26%,https://coinmarketcap.com/currencies/bitdice/,,1,,,,,,,,,,
Bitgoals,,7/15/2018,19,#REF!,,,,,,,04/06/2021,Inactive,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
BitGuild,,4/6/2018, $ 13.41 ,#REF!,https://coinmarketcap.com/currencies/bitguild-plat/,PLAT,"8,980,808","30,425",https://bitguild.io/,https://bitguild.io/resources/,06/06/2021,,,,,66.98%,0.23%,0.34%,,,1,,,,,,,,,,
bitJob,,10/13/2017, $ 2.65 ,#REF!,https://icomarks.com/ico/bitjob,STU,,8.17,https://bitjob.io/,https://drive.google.com/file/d/0B6VVmGzOdFPBM1didzVHMlBTd3c/view,06/06/2021,,,,,0.00%,0.00%,#DIV/0!,https://coinmarketcap.com/currencies/bitjob/,,1,,,,,,,,,,
BitMart (BMX),,1/14/2018, $ 6.30 ,#REF!,https://coinmarketcap.com/currencies/bitmart-token/,BMX,"116,262,159","9,611,026",https://www.bitmart.com/,https://www.bitmart.com/whitepaper/bitmart_whitepaper_en.pdf,06/06/2021,,,,,1845.43%,152.56%,8.27%,,,4,,,,,,,,,,
Bitmax,,7/23/2018,13.7,#REF!,https://coinmarketcap.com/currencies/3x-long-bitmax-token-token/,BTMXBULL,"2,161.72",No Data,https://ftx.com/tokens/BTMXBULL,,03/06/2021,,,,,0.02%,#VALUE!,#VALUE!,,,1,,,,,,,,,,
Bitnation,,4/25/2018, $ 1.34 ,#REF!,https://coinmarketcap.com/currencies/bitnation/,XPAT,"167,973",390,https://bitnation.co/,,06/06/2021,,,,,12.54%,0.03%,0.23%,,,1,,,,,,,,,,
Bitquence,,7/16/2017, $ 1.23 ,#REF!,,,,,,,06/06/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Bitrace,,4/15/2018, $ 1.82 ,#REF!,,,,,,,06/06/2021,Inactive,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
BitRewards (BIT),,6/2/2018, $ 6.60 ,#REF!,https://coinmarketcap.com/currencies/bitrewards/,BIT,"63,906.77",0.1283,https://bitrewards.network/,https://bitrewards.network/wp.pdf,04/06/2021,,,BitRewards (XBR) DEAD,,0.97%,0.00%,0.00%,,,1,,,,,,,,,,
Bitto Exchange (Token Sale Phase-1),,4/3/2018, $ 1.11 ,#REF!,https://coinmarketcap.com/currencies/bitto/,BITTO,"2,394,506","54,870",http://www.bittoexchange.com/,https://bitto.tech/Bitto%20whitepaper.pdf,06/06/2021,,,,,216.70%,4.97%,2.29%,,,3,,,,,,,,,,
Bittwatt,,6/1/2018, $ 20.00 ,#REF!,https://coinmarketcap.com/currencies/bittwatt/,BWT,"1,730,724.94",,https://bittwatt.com/,https://bittwatt.com/static/files/Bittwatt-Whitepaper-EN.pdf,04/06/2021,,,,,8.65%,0.00%,0.00%,,,1,,,,,,,,,,
Block Collider,,4/16/2018, $ 7.01 ,#REF!,,,,,,,06/06/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Block.Array (ARY),,1/10/2018, $ 14.40 ,#REF!,,,,,,,06/06/2021,Inactive,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
BlockBank,,6/1/2018, $ 12.83 ,#REF!,https://coinmarketcap.com/currencies/blockbank/,BBANK,"53,469,501.00","225,129",https://blockbank.ai/,https://blockbank.ai/public/file/blockbank-whitepaper.pdf,04/06/2021,,,,,416.75%,1.75%,0.42%,,,3,,,,,,,,,,
BlockCDN,,12/26/2016, $ 0.30 ,#REF!,https://coinmarketcap.com/currencies/blockcdn/,BCDN,"1,079,634",80,http://www.blockcdn.org/,http://www.blockcdn.org/file/BlockCdn-english.pdf,06/07/2021,,,,,359.88%,0.03%,0.01%,,,3,,,,,,,,,,
Blockchain Capital,,4/10/2017, $ 10.00 ,#REF!,,,,,,,06/07/2021,Inactive,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Blockchain Terminal,,5/1/2018, $ 21.50 ,#REF!,,,,,,,06/06/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
blockhive,,6/30/2018, $ 0.32 ,#REF!,,,,,,,04/06/2021,Inactive,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
BlockPay,,9/5/2016, $ 0.66 ,#REF!,,,,,,,06/07/2021,Inactive,,,Main reasons for dead coin listing Abandoned or No Volume,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
BlockPool,,6/30/2017, $ 1.75 ,#REF!,,,,,,,06/06/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Blockport (BPT),,1/24/2018, $ 15.00 ,#REF!,https://coinpaprika.com/coin/bpt-blockport/,BPT,"18,960,560.73",25449.33,https://www.blockport.io/,http://blockport.io/read-the/whitepaper.pdf,06/06/2021,,,,,126.40%,0.17%,0.13%,,,3,,,,,,,,,,
Blockstack (STX),,12/1/2017, $ 50.00 ,#REF!,https://coinmarketcap.com/currencies/stacks/,STX,"1,803,300,886","13,875,630",https://stacks.co/,https://gaia.blockstack.org/hub/1AxyPunHHAHiEffXWESKfbvmBpGQv138Fp/stacks.pdf,06/06/2021,,,,,3606.60%,27.75%,0.77%,,,4,,,,,,,,,,
Blocktix,,7/28/2017, $ 6.89 ,#REF!,https://coinmarketcap.com/currencies/blocktix/,TIX,"406,952",,https://blocktix.io/,https://blocktix.io/public/doc/blocktix-wp-draft.pdf#whitepaper,06/06/2021,,,,,5.91%,0.00%,0.00%,,,1,,,,,,,,,,
Blocktix,,8/7/2017, $ 6.98 ,#REF!,https://coinmarketcap.com/currencies/blocktix/,TIX,"407,071",,https://blocktix.io/,https://blocktix.io/public/doc/blocktix-wp-draft.pdf#whitepaper,06/06/2021,,,,,5.83%,0.00%,0.00%,,,1,,,,,,,,,,
BLOCKv (VEE),,10/25/2017, $ 21.07 ,#REF!,https://coinmarketcap.com/currencies/blockv/,VEE,"54,648,275","647,557",https://blockv.io/,https://blockv.io/documents/whitepaper.pdf,06/06/2021,,,,Main reasons for dead coin listing Abandoned or No Volume.,259.41%,3.07%,1.18%,,,3,,,,,,,,,,
Bloom (BLT),,1/1/2018, $ 40.00 ,#REF!,https://coinpaprika.com/coin/blt-bloom/,BLT,"13,496,700.00",571.1,https://bloom.co/,https://bloom.co/whitepaper.pdf,06/06/2021,,,,,33.74%,0.00%,0.00%,https://coinmarketcap.com/currencies/bloomtoken/,,1,,,,,,,,,,
Blue Whale,,5/24/2018, $ 22.70 ,#REF!,https://coinmarketcap.com/currencies/blue-whale-exchange/,BWX,"1,733,160","98,583",https://www.bluewhale.foundation/,https://www.bluewhale.foundation/assets/Bluewhale_White_Paper_ENG_V.pdf,05/06/2021,,,,,7.64%,0.43%,5.69%,,,1,,,,,,,,,,
Bluzelle (BLZ),,1/20/2018, $ 19.50 ,#REF!,https://coinmarketcap.com/currencies/bluzelle/,BLZ,"97,546,151","5,904,927",https://bluzelle.com/,https://bluzelle.com/wp-content/uploads/2017/10/bluzelle-whitepaper-english1-4.pdf,06/06/2021,,,,,500.24%,30.28%,6.05%,,,3,,,,,,,,,,
Bnk To The Future (BFT),,2/16/2018, $ 33.00 ,#REF!,https://coinmarketcap.com/currencies/bnktothefuture/,BFT,"69,135,247","166,779",https://bf-token.bnktothefuture.com/#!/,https://bf-token.bnktothefuture.com/pdf/whitepaper.pdf,06/06/2021,,,,,209.50%,0.51%,0.24%,,,3,,,,,,,,,,
Bob's Repair,,5/10/2018, $ 18.64 ,#REF!,https://coinmarketcap.com/currencies/bobs-repair/,BOB,"2,719,478","11,750",https://www.bobsrepair.com/,https://bobsrepair.com/docs/White-Paper.pdf,05/06/2021,,,,,14.59%,0.06%,0.43%,,,1,,,,,,,,,,
Boon.Tech,,1/16/2018, $ 5.00 ,#REF!,upcoming,,,,,,06/06/2021,,,DEAD,Main reasons for dead coin listing Scam or Other Issues,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
BOScoin,,5/10/2017, $ 17.92 ,#REF!,https://coinmarketcap.com/currencies/boscoin/,BOS,"1,126,268",739,https://boscoin.io/,https://boscoin.io/wp-content/themes/boscoin/src/pdf/BOScoinWhitePaper_2.0_EN.pdf,06/06/2021,,,DEAD,Main reasons for dead coin listing Scam or Other Issues,6.28%,0.00%,0.07%,,,1,,,,,,,,,,
Boulè (BUO),,11/25/2017, $ 0.18 ,#REF!,,,,,,,06/06/2021,No information found,,,Main reasons for dead coin listing Scam or Other Issues,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Bounty0x,,12/16/2017, $ 1.60 ,#REF!,https://coinmarketcap.com/currencies/bounty0x/,BNTY,"802,345","47,044",https://bounty0x.io/,https://bounty0x.io/whitepaper,06/06/2021,,,,Main reasons for dead coin listing Abandoned or No Volume.,50.05%,2.93%,5.86%,,,1,,,,,,,,,,
Bread,,12/19/2017, $ 20.02 ,#REF!,https://coinmarketcap.com/currencies/bread/,BRD,"14,905,436","1,789,718",https://brd.com/,https://token.breadapp.com/en/#white-paper,06/06/2021,,,,,74.45%,8.94%,12.01%,,,1,,,,,,,,,,
Breakout Coin,,7/7/2016, $ 0.56 ,#REF!,https://coinmarketcap.com/currencies/breakout/,BRK,,,http://www.breakoutcoin.com/,http://www.breakoutcoin.com/specifications/,06/07/2021,,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
BricBit,,3/28/2018, $ 1.05 ,#REF!,,,,,,,06/06/2021,Inactive,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Brickblock,,5/16/2018, $ 12.72 ,#REF!,https://coinpaprika.com/coin/bbk-brickblock/,Rank ,"1,611,524.17",88.85,https://www.brickblock.io/,https://github.com/brickblock-io/whitepaper-general,05/06/2021,,,,,12.67%,0.00%,0.01%,https://coinmarketcap.com/currencies/brickblock/,,1,,,,,,,,,,
Brickblock (BBT),,11/21/2017, $ 4.89 ,#REF!,https://coinpaprika.com/coin/bbk-brickblock/,BBK,"1,611,524.17",129.03,https://www.brickblock.io/,https://github.com/brickblock-io/whitepaper-general,06/06/2021,,,,,32.92%,0.00%,0.01%,https://coinmarketcap.com/currencies/brickblock/,,1,,,,,,,,,,
Bubbletone Blockchain In Telecom (UMT),,6/15/2018, $ 8.60 ,#REF!,,,,,,,04/06/2021,No information found,,DEAD,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Budbo,,3/4/2018, $ 11.73 ,#REF!,https://coinmarketcap.com/currencies/budbo/,BUBO,,,https://budbo.io/,https://budbo.io/budbo-whitepaper.pdf,06/06/2021,Inactive,,DEAD,Main reasons for dead coin listing Abandoned or No Volume.,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Cappasity,,3/23/2018, $ 5.10 ,#REF!,https://coinmarketcap.com/currencies/cappasity/,CAPP,"3,290,286","19,899",https://artoken.io/,https://artoken.io/whitepaper,06/06/2021,,,,,64.52%,0.39%,0.60%,,,1,,,,,,,,,,
Carboneum,,7/7/2018,6.34,#REF!,https://coinmarketcap.com/currencies/carboneum-c8-token/,C8,"352,396.50",549.82,https://www.carboneum.io/,,04/06/2021,,https://coinpaprika.com/coin/c8-carboneum-c8-token/,,,5.56%,0.01%,0.16%,,,1,,,,,,,,,,
Cardstack (CARD),,3/13/2018, $ 6.50 ,#REF!,Duplicate,,,,,,06/06/2021,,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Cardstack (CARD),,6/1/2018, $ 35.00 ,#REF!,https://coinmarketcap.com/currencies/cardstack/,CARD,"51,291,844.61","268,501.02",https://cardstack.com/,https://cardstack.com/assets/media/cardstack-white-paper-v1.0.4.pdf,04/06/2021,,,,,146.55%,0.77%,0.52%,,,3,,,,,,,,,,
CarTaxi (CTX),,10/31/2017, $ 8.71 ,#REF!,,,,,,,06/06/2021,No information found,,DEAD,Main reasons for dead coin listing Scam or Other Issues.,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
CarVertical (CV),,1/16/2018, $ 19.90 ,#REF!,https://coinmarketcap.com/currencies/carvertical/,CV,"7,014,247","43,587",https://www.carvertical.com/investors,https://www.carvertical.com/files/carvertical-whitepaper.pdf,06/06/2021,,,,,35.25%,0.22%,0.62%,,,1,,,,,,,,,,
Cashaa (CAS),,12/5/2017, $ 11.15 ,#REF!,https://coinmarketcap.com/currencies/cashaa/,CAS,"34,871,780","36,831",https://www.cashaa.com/,https://storage.googleapis.com/cashaa-cdn/cashaa/pdf/cashaa_wp_v2.pdf,06/06/2021,,,,,312.89%,0.33%,0.11%,,,3,,,,,,,,,,
CashScripter,,3/30/2017, $ 0.19 ,#REF!,,,,,,,06/07/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
CEDEX,,4/13/2018, $ 14.00 ,#REF!,https://coinmarketcap.com/currencies/cedex-coin/,,,,https://cedex.com/,https://cedex.com/img/Whitepaper.pdf,06/06/2021,Inactive,,,Main reasons for dead coin listing Scam or Other Issues.,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
CEEK,,5/4/2018, $ 17.34 ,#REF!,https://coinmarketcap.com/currencies/ceek-vr/,CEEK,"3,922,084.00","596,026",https://www.ceek.io/,,06/06/2021,,,,,22.62%,3.44%,15.20%,,,1,,,,,,,,,,
Celsius (CEL),,3/22/2018, $ 50.00 ,#REF!,https://coinmarketcap.com/currencies/celsius/,CEL,"5,385,833,730","12,356,409",https://celsius.network/,,06/06/2021,,,,,10771.67%,24.71%,0.23%,,,4,,,,,,,,,,
CGCX,,7/30/2018,1.93,#REF!,https://icomarks.com/ico/cgcx,CGX,53165645,75.59,https://www.cgcx.io/?utm_source=icomarks,https://www.cgcx.io/wp-content/uploads/2018/05/Whitepaper.pdf,03/06/2021,,https://coinpaprika.com/coin/cgcx-cgcx/,,,2754.70%,0.00%,0.00%,,,4,,,,,,,,,,
Chain of Points,,3/31/2017, $ 0.01 ,#REF!,,,,,,,06/07/2021,No information found,,,Main reasons for dead coin listing ICO Fail or Short Lived.,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Chainium,,4/4/2018, $ 3.44 ,#REF!,https://coinranking.com/coin/-Rr6czLCcTp_8+chainium-chx,CHX,1930000,"102,476",https://chainium.io/,,06/06/2021,,,,,56.19%,2.98%,5.31%,,,1,,,,,,,,,,
ChainTrade (CTC),,12/31/2017, $ 30.00 ,#REF!,,,,,,,06/06/2021,Inactive,,DEAD,Main reasons for dead coin listing Scam or Other Issues.,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Change Bank (CAG),,10/16/2017, $ 15.83 ,#REF!,https://etherscan.io/token/0x7d4b8cce0591c9044a22ee543533b72e976e36c3,CAG,"1,243,984.04",765.01,https://www.getchange.com/,https://www.getchange.com/investor,06/06/2021,,,,,7.86%,0.00%,0.06%,,,1,,,,,,,,,,
Chronobank,,2/14/2017, $ 5.40 ,#REF!,,,,,,,06/07/2021,Inactive,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
ClearCoin (CLR),,3/31/2018, $ 6.10 ,#REF!,https://coinmarketcap.com/currencies/clearcoin/,XCLR,,,https://clearcoin.co/,https://clearcoin.co/whitepaper/,06/06/2021,No information found,,DEAD,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Clinicoin,,6/1/2018, $ 3.30 ,#REF!,https://etherscan.io/token/0x386073f0c9f076db93a5222c27f921663e2ce890,CLIN,,,https://clinicoin.io/en,https://www.mosio.com/noidx/Clinicoin_Whitepaper_2018.pdf,05/06/2021,,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
CLN,,2/18/2018, $ 22.90 ,#REF!,,,,,,,06/06/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
CloudMoolah,,4/30/2018, $ 12.30 ,#REF!,,,,,,,06/06/2021,Inactive,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Clout,,12/17/2017, $ 2.65 ,#REF!,https://coinmarketcap.com/currencies/clout/,CLOUT,"1,115,904","15,755",https://www.cloutdefi.app/,https://www.cloutdefi.app/CloutWhitepaper.pdf,06/06/2021,,,,,42.09%,0.59%,1.41%,,,1,,,,,,,,,,
COBINHOOD (COB),,10/22/2017, $ 13.38 ,#REF!,https://coinmarketcap.com/currencies/cobinhood/,COB,"359,974","1,249.34",https://www.cobinhood.com/,https://cobinhood.com/assets/whitepaper/whitepaper_en.pdf,06/06/2021,,,DEAD,Main reasons for dead coin listing Scam or Other Issues.,2.69%,0.01%,0.35%,,,1,,,,,,,,,,
Cobol Network,,6/7/2018, $ 5.55 ,#REF!,,,,,,,04/06/2021,Inactive,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Codex Protocol Pre-Sale,,7/24/2018,12,#REF!,,,,,,,03/06/2021,Inactive,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Cofound.it,,6/6/2017, $ 11.34 ,#REF!,,,,,,,06/06/2021,Inactive,,DEAD,Main reasons for dead coin listing Abandoned or No Volume.,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Coin Lion (LION),,1/31/2018, $ 7.00 ,#REF!,https://coinpaprika.com/coin/lion-coin-lion/,LION,"23,640,146.86",5315.02,https://www.coinlion.com/,https://static.coinlion.com/docs/CoinLion_Whitepaper_v4.1.pdf,06/06/2021,,,,,337.72%,0.08%,0.02%,https://coinmarketcap.com/currencies/coin-lion/,,3,,,,,,,,,,
CoinDash,,7/17/2017, $ -   ,#REF!,Duplicate,,,,,,06/06/2021,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,#DIV/0!,,,,,,,,,,
CoinDash,,8/4/2017, $ 0.14 ,#REF!,https://etherscan.io/token/0x177d39ac676ed1c67a2b268ad7f1e58826e5b0af,CDT,"20,266,290.00",,http://bloxstaking.com/,https://www.bloxstaking.com/one-pager/,06/06/2021,,,,,14475.92%,0.00%,0.00%,,,4,,,,,,,,,,
CoinFi (COFI),,1/10/2018, $ 15.00 ,#REF!,https://coinmarketcap.com/currencies/coinfi/,COFI,"1,476,114","84,974",http://www.coinfi.com/,https://docs.google.com/document/d/1p6xaFl4nPv1CuJv6F2fkZ6qBq2lBS6ePyFna8QZt1KM/view,06/06/2021,,,,,9.84%,0.57%,5.76%,,,1,,,,,,,,,,
CoinHealth,,4/22/2018, $ 7.00 ,#REF!,,,,,,,06/06/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Coinlancer,,12/16/2017, $ 11.86 ,#REF!,https://coinmarketcap.com/currencies/coinlancer/,CL,"8,390,312","2,313",https://www.coinlancer.io/,https://www.coinlancer.io/Coinlancer_Whitepaper.pdf,06/06/2021,,,,,70.74%,0.02%,0.03%,,,1,,,,,,,,,,
CoinMetro,,4/23/2018, $ 14.61 ,#REF!,https://coinmarketcap.com/currencies/coinmetro-token/,XCM,"114,330,188","78,520",https://coinmetro.com/,https://coinmetro.com/whitepaper,06/06/2021,,,,,782.42%,0.54%,0.07%,,,3,,,,,,,,,,
CoinMetro (COIN),,3/23/2018, $ 14.79 ,#REF!,,,,,,,06/06/2021,Inactive,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
CoinStarter (STC),,2/20/2018, $ 8.52 ,#REF!,,,,,,,06/06/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Coinvest,,4/6/2018, $ 5.30 ,#REF!,,,,,,,06/06/2021,No information found,,DEAD,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Colu Local Network,,2/18/2018, $ 14.50 ,#REF!,https://coinpaprika.com/coin/cln-colu-local-network/,CLN,"30,506,491.59",210.49,https://cln.network/,https://cln.network/pdf/cln_whitepaper.pdf,06/06/2021,,,,,210.39%,0.00%,0.00%,https://coinmarketcap.com/currencies/colu-local-network/,,3,,,,,,,,,,
CommerceBlock,,12/19/2017, $ 8.82 ,#REF!,https://coinpaprika.com/coin/cbt-commerceblock/,CBT,"1,716,790.00",77.73,https://www.commerceblock.com/,https://www.commerceblock.com/commerceblock-whitepaper.pdf,06/06/2021,,,,,19.46%,0.00%,0.00%,https://coinmarketcap.com/currencies/commerceblock/,,1,,,,,,,,,,
COMSA ,,11/6/2017, $ 95.37 ,#REF!,https://etherscan.io/token/0xf83301c5cd1ccbb86f466a6b3c53316ed2f8465a,CMS,"234,375,258.86",30.08,https://comsa.io/en/,https://comsa.io/en/download/52847/,06/06/2021,,,,,245.75%,0.00%,0.00%,https://coinmarketcap.com/currencies/comsa-eth/,,3,,,,,,,,,,
Concierge.io,,4/25/2018, $ 2.56 ,#REF!,https://coinpaprika.com/coin/ccc-concierge-coin/,Rank ,,3.87,http://www.conciergecoin.net/,,06/06/2021,,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Contingency,,2/27/2017, $ 0.39 ,#REF!,,,,,,,06/07/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Cool Cousin,,6/5/2018, $ 10.28 ,#REF!,,,,,,,04/06/2021,No information found,,,Main reasons for dead coin listing Abandoned or No Volume.,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Cool Cousin (Pre-Sale),,4/11/2018, $ 6.79 ,#REF!,,,,,,,06/06/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
COPYTRACK,,2/10/2018, $ 11.09 ,#REF!,,,,,,,06/06/2021,No information found,,DEAD,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Copytrack (CPY),,2/10/2018, $ 11.00 ,#REF!,,,,,,,06/06/2021,No information found,,DEAD,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Corion,,8/27/2017, $ 1.88 ,#REF!,https://coinmarketcap.com/currencies/corionx/,CORX,"990,018","270,254",https://corion.io/corionx/,https://corion.io/corionx-whitepaper-en/#,06/06/2021,,,,,52.66%,14.38%,27.30%,,,1,,,,,,,,,,
Cosmos,,4/5/2017, $ 0.39 ,#REF!,https://coinmarketcap.com/currencies/cosmos/,ATOM,"4,133,386,080","190,606,647",https://cosmos.network/,https://cosmos.network/resources/whitepaper,06/07/2021,,,,,1059842.58%,48873.50%,4.61%,,,4,,,,,,,,,,
Cosmos Network,,4/6/2017, $ 16.80 ,#REF!,,,,,,,06/07/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
COSS,,9/6/2017, $ 2.36 ,#REF!,https://coinpaprika.com/coin/cos-coss/,COS,"1,180,869.14",1924.26,https://coss.io/,,06/06/2021,,,DEAD,,50.04%,0.08%,0.16%,https://coinmarketcap.com/exchanges/coss/,,1,,,,,,,,,,
Counterparty,,2/3/2014, $ 1.79 ,#REF!,https://coinmarketcap.com/currencies/counterparty/,XCP,"6,365,209.82","58,075.41",https://counterparty.io/,https://github.com/CounterpartyXCP/Documentation/blob/master/Developers/protocol_specification.md,03/06/2021,,,DEAD,,355.60%,3.24%,0.91%,,,3,,,,,,,,,,
Countinghouse Fund,,6/12/2018, $ 4.72 ,#REF!,https://coinpaprika.com/coin/cht-countinghouse-fund/,CHT,"1,530,122.88",3.15,https://www.countinghousefund.com/,https://www.countinghousefund.com/whitepaper,04/06/2021,,,,,32.42%,0.00%,0.00%,,,1,,,,,,,,,,
Covesting,,12/31/2017, $ 18.75 ,#REF!,https://coinmarketcap.com/currencies/covesting/,COV,"8,579,681","3,197,321",https://covesting.io/,https://covesting.io/static/Covesting_White_Paper.pdf,06/06/2021,,,,,45.76%,17.05%,37.27%,,,1,,,,,,,,,,
Covesting,,1/15/2018, $ 18.75 ,#REF!,https://coinmarketcap.com/currencies/covesting/,COV,"8,518,637","4,378,800",https://covesting.io/,https://covesting.io/static/Covesting_White_Paper.pdf,06/06/2021,,,,,45.43%,23.35%,51.40%,,,1,,,,,,,,,,
CPChain,,1/24/2018, $ 30.00 ,#REF!,https://coinmarketcap.com/currencies/cpchain/,CPC,"8,138,115","258,122",http://www.cpchain.io/,http://www.cpchain.io/CPChain_Whitepaper_English.pdf,06/06/2021,,,,,27.13%,0.86%,3.17%,,,1,,,,,,,,,,
Creativechain,,5/1/2017, $ 0.35 ,#REF!,,,,,,,06/06/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Crederoom (CDRT),,11/15/2017, $ 5.13 ,#REF!,,,,,,,06/06/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Credit Protocol,,10/16/2017, $ 15.30 ,#REF!,https://coinmarketcap.com/currencies/blockmason/,BCPT,"427,260","1,052",https://blockmason.io/,https://blockmason.io/cp-whitepaper.pdf,06/06/2021,,,,,2.79%,0.01%,0.25%,,,1,,,,,,,,,,
CREDITS,,2/18/2018, $ 22.57 ,#REF!,https://coinmarketcap.com/currencies/credits/,CS,"14,369,225","565,162",https://credits.com/en,https://developers.credits.com/,06/06/2021,,,,,63.66%,2.50%,3.93%,,,1,,,,,,,,,,
Crowd Genie,,3/1/2018, $ 5.55 ,#REF!,,,,,,,06/06/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
CrowdCoinage (CCOS),,3/12/2018, $ 6.00 ,#REF!,,,,,,,06/06/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
